battleTime,event_id,event_mode,event_map,battle_mode,battle_type,battle_rank,battle_trophyChange,battle_result,battle_duration,battle_starPlayer_tag,battle_starPlayer_name,battle_starPlayer_brawler_id,battle_starPlayer_brawler_name,battle_starPlayer_brawler_power,battle_starPlayer_brawler_trophies,player_tag,brawler_id_used
20250405T130145.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,4.0,-4.0,,,,,,,,,#9ULJPY8LV,16000043.0
20250405T125746.000Z,15000679,knockout,Close Quarters,knockout,ranked,,-3.0,defeat,28.0,#LVPJRVJPC,けんけん,16000004.0,RICO,8.0,408.0,#9ULJPY8LV,16000018.0
20250405T125552.000Z,15000679,knockout,Close Quarters,knockout,ranked,,-2.0,defeat,41.0,#2RUVQ2VVY2,CR7,16000043.0,EDGAR,11.0,236.0,#9ULJPY8LV,16000019.0
20250405T125406.000Z,15000679,knockout,Close Quarters,knockout,ranked,,-3.0,defeat,24.0,#Q9V98QGQ8,(⁠｡⁠ﾉ⁠ω⁠＼⁠｡⁠)嗨~,16000085.0,KENJI,10.0,470.0,#9ULJPY8LV,16000014.0
20250405T125258.000Z,15000679,knockout,Close Quarters,knockout,ranked,,-1.0,defeat,49.0,#2Y2VC9CCR,嘿！空武發,16000041.0,LOU,7.0,167.0,#9ULJPY8LV,16000045.0
20250405T125037.000Z,15000926,hotZone,Bejeweled,hotZone,ranked,,-2.0,defeat,86.0,#YYV2PUC2Q,❄️Bé Nguyên❄️,16000063.0,CHESTER,10.0,333.0,#9ULJPY8LV,16000006.0
20250405T124744.000Z,15000926,hotZone,Bejeweled,hotZone,ranked,,-2.0,defeat,75.0,#Q9G8J992,🌵🐖🌵,16000091.0,LUMI,11.0,190.0,#9ULJPY8LV,16000022.0
20250405T124424.000Z,15000118,brawlBall,Pinball Dreams,brawlBall,ranked,,-2.0,defeat,57.0,#2QJRVLGJC9,Chun_Hei,16000011.0,MORTIS,7.0,286.0,#9ULJPY8LV,16000030.0
20250405T124214.000Z,15000679,knockout,Close Quarters,knockout,ranked,,-1.0,defeat,37.0,#V9QU9L8PQ,メロン,16000028.0,SANDY,9.0,104.0,#9ULJPY8LV,16000011.0
20250405T123846.000Z,15000679,knockout,Close Quarters,knockout,ranked,,9.0,victory,32.0,#9ULJPY8LV,CYX,16000011.0,MORTIS,11.0,91.0,#9ULJPY8LV,16000011.0
20250405T123733.000Z,15000679,knockout,Close Quarters,knockout,ranked,,8.0,victory,35.0,#9ULJPY8LV,CYX,16000011.0,MORTIS,11.0,83.0,#9ULJPY8LV,16000011.0
20250405T123619.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,3.0,4.0,,,,,,,,,#9ULJPY8LV,16000011.0
20250405T123515.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,4.0,-5.0,,,,,,,,,#9ULJPY8LV,16000014.0
20250405T123219.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,1.0,9.0,,,,,,,,,#9ULJPY8LV,16000014.0
20250405T123037.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,4.0,-5.0,,,,,,,,,#9ULJPY8LV,16000014.0
20250405T122855.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,3.0,3.0,,,,,,,,,#9ULJPY8LV,16000038.0
20250405T122649.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,2.0,7.0,,,,,,,,,#9ULJPY8LV,16000060.0
20250405T122357.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,2.0,7.0,,,,,,,,,#9ULJPY8LV,16000024.0
20250405T122153.000Z,15000955,trioShowdown,Cavern Churn,duoShowdown,ranked,3.0,2.0,,,,,,,,,#9ULJPY8LV,16000014.0
20250317T142429.000Z,15000854,unknown,Cool Box,brawlBall,ranked,,10.0,victory,150.0,#8PQQLRJU0,고윤호,16000011.0,MORTIS,10.0,523.0,#9ULJPY8LV,16000014.0
20240525T144152.000Z,15000033,soloShowdown,Cavern Churn,soloShowdown,ranked,1.0,11.0,,,,,,,,,#9ULJPY8LV,16000020.0
20240525T143943.000Z,15000033,soloShowdown,Cavern Churn,soloShowdown,ranked,1.0,10.0,,,,,,,,,#9ULJPY8LV,16000020.0
20240525T143859.000Z,15000033,soloShowdown,Cavern Churn,soloShowdown,ranked,7.0,,,,,,,,,,#9ULJPY8LV,16000020.0
20240525T143650.000Z,15000033,soloShowdown,Cavern Churn,soloShowdown,ranked,1.0,10.0,,,,,,,,,#9ULJPY8LV,16000020.0
20240525T143516.000Z,15000051,brawlBall,Super Beach,brawlBall,ranked,,-2.0,defeat,150.0,#GGYQ0VG8V,Shise,16000050.0,GRIFF,5.0,176.0,#9ULJPY8LV,16000020.0
20250412T014143.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,8.0,victory,90.0,#QVJR2QJQ9,🤙🤙ESSA🤙🤙,16000062.0,BUSTER,1.0,196.0,#GYVL22U2V,16000092.0
20250412T013945.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-1.0,defeat,100.0,#8PGC8CPLQ,Evelyn_Queen,16000014.0,BO,1.0,206.0,#GYVL22U2V,16000092.0
20250412T012047.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,12.0,victory,58.0,#RPYR09J2Y,Hyra,16000001.0,COLT,3.0,16.0,#GYVL22U2V,16000002.0
20250412T011857.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-2.0,defeat,79.0,#2LPGRYVQ8Y,MaxZ,16000004.0,RICO,11.0,249.0,#GYVL22U2V,16000045.0
20250412T010103.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-2.0,defeat,40.0,#JC9ULGYLV,สมชายskibi,16000036.0,NANI,8.0,230.0,#GYVL22U2V,16000092.0
20250411T152102.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,11.0,victory,84.0,#2RJC2Y8CYG,klown,16000000.0,SHELLY,5.0,43.0,#GYVL22U2V,16000002.0
20250411T151902.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,-2.0,defeat,63.0,#PJQGRC20G,黑龙骑士,16000046.0,BELLE,11.0,283.0,#GYVL22U2V,16000045.0
20250411T151718.000Z,15000581,knockout,Healthy Middle Ground,knockout,ranked,,8.0,victory,88.0,#2RRRVGY22L,spamer,16000004.0,RICO,7.0,166.0,#GYVL22U2V,16000045.0
