brawler_id,brawler_name,starPowers_id,starPowers_name,gadgets_id,gadgets_name
16000000,SHELLY,23000076,SHELL SHOCK,23000255,FAST FORWARD
16000000,SHELLY,23000076,SHELL SHOCK,23000288,CLAY PIGEONS
16000000,SHELLY,23000135,BAND-AID,23000255,FAST FORWARD
16000000,SHELLY,23000135,BAND-AID,23000288,CLAY PIGEONS
16000001,COLT,23000077,SLICK BOOTS,23000273,SPEEDLOADER
16000001,COLT,23000077,SLICK BOOTS,23000319,SILVER BULLET
16000001,COLT,23000138,MAGNUM SPECIAL,23000273,SPEEDLOADER
16000001,COLT,23000138,MAGNUM SPECIAL,23000319,SILVER BULLET
16000002,BULL,23000078,BERSERKER,23000272,T-BONE INJECTOR
16000002,BULL,23000078,BERSERKER,23000310,STOMPER
16000002,BULL,23000137,TOUGH GUY,23000272,T-BONE INJECTOR
16000002,BULL,23000137,TOUGH GUY,23000310,STOMPER
16000003,BROCK,23000079,MORE ROCKETS!,23000245,ROCKET LACES
16000003,BROCK,23000079,MORE ROCKETS!,23000316,ROCKET FUEL
16000003,BROCK,23000150,ROCKET NO. 4,23000245,ROCKET LACES
16000003,BROCK,23000150,ROCKET NO. 4,23000316,ROCKET FUEL
16000004,RICO,23000080,SUPER BOUNCY,23000246,MULTIBALL LAUNCHER
16000004,RICO,23000080,SUPER BOUNCY,23000409,BOUNCY CASTLE
16000004,RICO,23000156,ROBO RETREAT,23000246,MULTIBALL LAUNCHER
16000004,RICO,23000156,ROBO RETREAT,23000409,BOUNCY CASTLE
16000005,SPIKE,23000081,FERTILIZE,23000247,POPPING PINCUSHION
16000005,SPIKE,23000081,FERTILIZE,23000406,LIFE PLANT
16000005,SPIKE,23000151,CURVEBALL,23000247,POPPING PINCUSHION
16000005,SPIKE,23000151,CURVEBALL,23000406,LIFE PLANT
16000006,BARLEY,23000082,MEDICAL USE,23000250,STICKY SYRUP MIXER
16000006,BARLEY,23000082,MEDICAL USE,23000293,HERBAL TONIC
16000006,BARLEY,23000158,EXTRA NOXIOUS,23000250,STICKY SYRUP MIXER
16000006,BARLEY,23000158,EXTRA NOXIOUS,23000293,HERBAL TONIC
16000007,JESSIE,23000083,ENERGIZE,23000251,SPARK PLUG
16000007,JESSIE,23000083,ENERGIZE,23000295,RECOIL SPRING
16000007,JESSIE,23000149,SHOCKY,23000251,SPARK PLUG
16000007,JESSIE,23000149,SHOCKY,23000295,RECOIL SPRING
16000008,NITA,23000084,BEAR WITH ME,23000249,BEAR PAWS
16000008,NITA,23000084,BEAR WITH ME,23000314,FAUX FUR
16000008,NITA,23000136,HYPER BEAR,23000249,BEAR PAWS
16000008,NITA,23000136,HYPER BEAR,23000314,FAUX FUR
16000009,DYNAMIKE,23000085,DYNA-JUMP,23000258,FIDGET SPINNER
16000009,DYNAMIKE,23000085,DYNA-JUMP,23000294,SATCHEL CHARGE
16000009,DYNAMIKE,23000155,DEMOLITION,23000258,FIDGET SPINNER
16000009,DYNAMIKE,23000155,DEMOLITION,23000294,SATCHEL CHARGE
16000010,EL PRIMO,23000086,EL FUEGO,23000264,SUPLEX SUPPLEMENT
16000010,EL PRIMO,23000086,EL FUEGO,23000292,ASTEROID BELT
16000010,EL PRIMO,23000140,METEOR RUSH,23000264,SUPLEX SUPPLEMENT
16000010,EL PRIMO,23000140,METEOR RUSH,23000292,ASTEROID BELT
16000011,MORTIS,23000087,CREEPY HARVEST,23000265,COMBO SPINNER
16000011,MORTIS,23000087,CREEPY HARVEST,23000290,SURVIVAL SHOVEL
16000011,MORTIS,23000154,COILED SNAKE,23000265,COMBO SPINNER
16000011,MORTIS,23000154,COILED SNAKE,23000290,SURVIVAL SHOVEL
16000012,CROW,23000088,EXTRA TOXIC,23000243,DEFENSE BOOSTER
16000012,CROW,23000088,EXTRA TOXIC,23000286,SLOWING TOXIN
16000012,CROW,23000143,CARRION CROW,23000243,DEFENSE BOOSTER
16000012,CROW,23000143,CARRION CROW,23000286,SLOWING TOXIN
16000013,POCO,23000089,DA CAPO!,23000267,TUNING FORK
16000013,POCO,23000089,DA CAPO!,23000350,PROTECTIVE TUNES
16000013,POCO,23000144,SCREECHING SOLO,23000267,TUNING FORK
16000013,POCO,23000144,SCREECHING SOLO,23000350,PROTECTIVE TUNES
16000014,BO,23000090,CIRCLING EAGLE,23000263,SUPER TOTEM
16000014,BO,23000090,CIRCLING EAGLE,23000289,TRIPWIRE
16000014,BO,23000148,SNARE A BEAR,23000263,SUPER TOTEM
16000014,BO,23000148,SNARE A BEAR,23000289,TRIPWIRE
16000015,PIPER,23000091,AMBUSH,23000268,AUTO AIMER
16000015,PIPER,23000091,AMBUSH,23000291,HOMEMADE RECIPE
16000015,PIPER,23000152,SNAPPY SNIPING,23000268,AUTO AIMER
16000015,PIPER,23000152,SNAPPY SNIPING,23000291,HOMEMADE RECIPE
16000016,PAM,23000092,MAMA'S HUG,23000257,PULSE MODULATOR
16000016,PAM,23000092,MAMA'S HUG,23000404,SCRAPSUCKER
16000016,PAM,23000139,MAMA'S SQUEEZE,23000257,PULSE MODULATOR
16000016,PAM,23000139,MAMA'S SQUEEZE,23000404,SCRAPSUCKER
16000017,TARA,23000093,BLACK PORTAL,23000266,PSYCHIC ENHANCER
16000017,TARA,23000093,BLACK PORTAL,23000356,SUPPORT FROM BEYOND
16000017,TARA,23000160,HEALING SHADE,23000266,PSYCHIC ENHANCER
16000017,TARA,23000160,HEALING SHADE,23000356,SUPPORT FROM BEYOND
16000018,DARRYL,23000094,STEEL HOOPS,23000260,RECOILING ROTATOR
16000018,DARRYL,23000094,STEEL HOOPS,23000313,TAR BARREL
16000018,DARRYL,23000157,ROLLING RELOAD,23000260,RECOILING ROTATOR
16000018,DARRYL,23000157,ROLLING RELOAD,23000313,TAR BARREL
16000019,PENNY,23000099,HEAVY COFFERS,23000248,SALTY BARREL
16000019,PENNY,23000099,HEAVY COFFERS,23000287,TRUSTY SPYGLASS
16000019,PENNY,23000142,MASTER BLASTER,23000248,SALTY BARREL
16000019,PENNY,23000142,MASTER BLASTER,23000287,TRUSTY SPYGLASS
16000020,FRANK,23000104,POWER GRAB,23000261,ACTIVE NOISE CANCELING
16000020,FRANK,23000104,POWER GRAB,23000351,IRRESISTIBLE ATTRACTION
16000020,FRANK,23000153,SPONGE,23000261,ACTIVE NOISE CANCELING
16000020,FRANK,23000153,SPONGE,23000351,IRRESISTIBLE ATTRACTION
16000021,GENE,23000109,MAGIC PUFFS,23000252,LAMP BLOWOUT
16000021,GENE,23000109,MAGIC PUFFS,23000352,VENGEFUL SPIRITS
